MID	Name	Description
m.012801	Chris Farley	American actor
m.012981	Irv Rubin	
m.01298s	Rex Stout	American writer
m.0129_w	Francis Poulenc	French composer
m.0129pl	Lady Ottoline Morrell	Artist
m.0129rp	Hubert Parry	English composer
m.0129sw	Georges Auric	French composer
m.0129wb	Lytton Strachey	English writer
m.012_53	Melissa Joan Hart	American actress
m.012_6c	Smokey Robinson	American singer-songwriter
m.012_jj	Miguel Bosé	Musician
m.012_lx	Thomas Beecham	English conductor
m.012b14	Bob Mills	Comedian
m.012b26	Ramesses III	Pharaoh
m.012bk	Ariel Sharon	Former Prime Minister of Israel
m.012bkl	Antonio Margheriti	Italian filmmaker
m.012bng	Alfred P. Sloan	American executive
m.012c6j	Adolphe Menjou	American actor
m.012c6x	Jackie Cooper	American actor
m.012c8f	Alfred Lunt	American stage director
m.012ch6	Alexej von Jawlensky	Painter
m.012cj0	Steve McQueen	American actor
m.012ck8	Carol Haney	American dancer
m.012cm5	Bill Mollison	Australian researcher
m.012cnn	Sinéad O'Connor	Singer-songwriter
m.012cph	Dashiell Hammett	American author
m.012crs	John P. Marquand	American writer
m.012cvp	Earl Derr Biggers	American novelist
m.012cwr	Erle Stanley Gardner	American lawyer
m.012cy5	Mickey Spillane	American novelist
m.012cyp	Glynis Johns	Television actress
m.012czd	Joan Greenwood	Actress
m.012d7w	Song Jiaoren	Revolutionary
m.012dhf	Jeannette Rankin	American Politician
m.012dtw	Walter Huston	Actor
m.012f1d	Emanuel Steward	American boxer
m.012fgx	Masaaki Hatsumi	
m.012fs4	Yves Saint Laurent	French fashion designer
m.012g8l	Subrahmanyan Chandrasekhar	American-Indian mathematician
m.012g92	Isabelle Huppert	French actress
m.012gbb	Marlene Dietrich	Actress
m.012gbv	Penda of Mercia	King of Mercia
m.012gdw	Pancho Villa	Mexican general
m.012gl8	Nichelle Nichols	American actress
m.012gq6	Bob Newhart	American stand-up comedian
m.012gr9	Laila Ali	American television personality
m.012gx2	Joe Biden	Former Vice President of the United States
m.012h4q	Axel Munthe	Medical doctor
m.012h65	Franco Columbu	Bodybuilder
m.012hqb	Mike Shinoda	American musician
m.012hr4	Brad Delson	American musician
m.012hsb	Barry Zito	American musician
m.012hz4	Dalida	Singer
m.012j2r	Chris Tarrant	Radio broadcaster
m.012j66	André Franquin	Belgian artist
m.012j8z	Walter Pidgeon	American-Canadian actor
m.012j9c	Monty Woolley	American actor
m.012j9q	Paul Lukas	Actor
m.012kdb	Susan Blackmore	British writer
m.012kf7	Adam Hart-Davis	Scientist
m.012kfy	Coenwulf of Mercia	King
m.012kk4	Peter Fleming	British journalist
m.012kl9	Æthelfrith	King of Bernicia
m.012kqy	Joseph Losey	American theatre director
m.012krs	Cynewulf of Wessex	King
m.012kxp	Princess Margaret of Connaught	
m.012ky3	Michel Legrand	Musical composer
m.012l1m	Arthur Balfour	Former Prime Minister of the United Kingdom
m.012l22	Guy Verhofstadt	Member of the European Parliament
m.012ljv	Gabriel Yared	French-Lebanese composer
m.012lkr	Subcomandante Marcos	Mexican spokesman
m.012lrh	Andreas Baader	
m.012lv3	Dave Gahan	English singer-songwriter
m.012lyg	Bob Crane	American actor
m.012m1c	Danica McKellar	American actress
m.012m1s	Zhu Rongji	Former Premier of the People's Republic of China
m.012m4n	Gaius Suetonius Paulinus	General
m.012m7r	João Goulart	Former President of Brazil
m.012mh_	Merlin Santana	American actor
m.012mk7	Sugar Ray Robinson	American professional boxer
m.012ml0	John Pilger	Journalist
m.012mmb	Brook Kerr	American actress
m.012mn4	William Osler	Canadian physician
m.012mrd	Crystal McKellar	American attorney
m.012ndz	Edmund Barton	Former Prime Minister of Australia
m.012ng2	Kōtoku Shūsui	
m.012nry	Paul Burrell	Butler
m.012pjh	Raymond Scott	American composer
m.012prx	Cearbhall Ó Dálaigh	Former President of Ireland
m.012pxw	Ayrton Senna	Brazilian racing driver
m.012q4n	Peter Stormare	Actor
m.012q83	Patrick Hillery	Former President of Ireland
m.012qfw	Mary McAleese	Former President of Ireland
m.012qgc	Max Schmeling	Boxer
m.012qsp	Hal Moore	General
m.012r36	Leif Erikson	
m.012rng	Norman Jewison	Canadian film director
m.012rth	Farley Mowat	Canadian writer
m.012s1x	Charles Haughey	Former Taoiseach
m.012s2d	Seán Lemass	Former Taoiseach
m.012s3y	Johnny Young	Australian singer
m.012s48	Albert Reynolds	Former Taoiseach
m.012s5j	Raquel Welch	American actress
m.012s9f	David Oistrakh	Soviet Violinist
m.012sk_	Manu Ginóbili	Argentine-Italian basketball player
m.012sp0	Aaron Pryor	American professional boxer
m.012st7	Nathan Milstein	Violinist
m.012t1	Arthur Laurents	American playwright
m.012t1d	Ryan Stiles	American-Canadian actor
m.012t3l	Stéphane Grappelli	French-Italian jazz violinist
m.012t4j	Arnold Bax	English composer
m.012t7s	Robert Ley	German Politician
m.012t8n	Zhao Ziyang	Former Premier of the People's Republic of China
m.012t9m	Christian Dior	French fashion designer
m.012tjy	Philip the Apostle	
m.012tmz	Laurent Gbagbo	Former President of the Ivory Coast
m.012tnf	Emlyn Williams	Writer
m.012v1t	Nancy Pelosi	Speaker of the United States House of Representatives
m.012v2x	Ruth Brown	American singer-songwriter
m.012v6b	Paul Touvier	
m.012v87	Ernst Ruska	German physicist
m.012vby	Mervyn LeRoy	American film director
m.012vd6	Aretha Franklin	American singer-songwriter
m.012vf6	Myrna Loy	American film actress
m.012vhn	David Norris	Member of the Seanad Éireann
m.012vk4	Claudette Colvin	American nurse
m.012vq0	Paul Castellano	American crime boss
m.012vqh	Eudora Welty	American short story writer
m.012vs	Adrian Lamo	American reporter
m.012w05	Hugo Wolf	Composer
m.012w36	Bruce Forsyth	Presenter
m.012w3k	David Dickinson	Expert
m.012w9y	Sid Meier	American programmer
m.012wbf	Ernest Ansermet	Swiss conductor
m.012wfh	Margaux Hemingway	American model
m.012wg	Alan Jay Lerner	American lyricist
m.012wgv	Alastair Sim	Character actor
m.012wsy	Ernst Zündel	German publisher
m.012wv	Al Capp	American cartoonist
m.012x17	Julia Deakin	Actress
m.012x2b	Simon Pegg	Actor
m.012x4t	Stevie Wonder	American singer-songwriter
m.012x5	Ann Druyan	American writer
m.012x86	Dusty Springfield	Singer
m.012x9d	Paolo Maldini	Italian footballer
m.012xbq	Kaiji Kawaguchi	Japanese author
m.012xdf	Shaquille O'Neal	American basketball player
m.012xdy	Alessandro Del Piero	Italian footballer
m.012xgs	Riyoko Ikeda	Japanese manga artist
m.012xls	Jimmy Doolittle	American general
m.012xqq	Kira Roessler	American musician
m.012xx	Alexey Pajitnov	Video game designer
m.012xyk	Saburō Kitajima	Japanese singer-lyricist
m.012y1h	Takehiko Inoue	Japanese manga artist
m.012y66	Tomáš Garrigue Masaryk	Politician
m.012y87	Galeazzo Ciano	Italian diplomat
m.012ycy	Ian MacKaye	American singer
m.012yf6	Pope Benedict XV	Pope
m.012yg1	Pope Pius XI	Sovereign of the State of the Vatican City
m.012yhd	Joe Louis	American professional boxer
m.012ykt	Michelle Yeoh	Malaysian actress
m.012yp7	Fred A. Leuchter	American author
m.012ysy	Angus Deayton	Actor
m.012yxk	Rodney Mullen	American skateboarder
m.012z4p	Carlo Gambino	American-Italian crime boss
m.012z8_	Marvin Gaye	American singer-songwriter
m.012zck	Kenneth II of Scotland	King
m.012zh1	Jack Dempsey	American professional boxer
m.012zmn	Kenneth III of Scotland	King
m.012zqs	Donald II of Scotland	King
m.012zrl	Liz Phair	American singer-songwriter
m.012zxr	Simon Brett	Writer
m.01300z	Otto von Habsburg	Archduke of Austria
m.01306d	William Styron	American novelist
m.0130py	Coleman Young	Former Mayor of Detroit
m.0130sy	Jon Anderson	Singer-songwriter
m.0130vq	Alberto Fujimori	Politician
m.013107	Brandi Chastain	American soccer player
m.0131kb	Donald Pleasence	Actor
m.0131w4	Yousuf Karsh	Armenian-Canadian photographer
m.0131x8	Constantine III	
m.013267	Frankie Fitzgerald	English actor
m.0132k4	Jaco Pastorius	American bassist
m.0132kn	Roy Hattersley	British Politician
m.0132nf	Dodi Fayed	Film producer
m.0132q1	Judith Butler	American philosopher
m.0132sy	Texas Guinan	American actress
m.0132t8	Donna Karan	American fashion designer
m.013339	Mario Lemieux	American-Canadian ice hockey player
m.01333r	Ai Yazawa	Japanese author
m.01338h	Danielle Fishel	American actress
m.0133bq	Havergal Brian	Composer
m.0133c4	Warren DeMartini	Guitarist
m.0133kw	Vivienne Westwood	British fashion designer
m.0133sq	Nick Park	British animator
m.0133x7	Sarah McLachlan	Canadian singer-songwriter
m.0133xp	Chantal Kreviazuk	Canadian singer-songwriter
m.0133yt	Johan Paulik	Slovak pornographic film actor
m.01341q	Abba Eban	Diplomat
m.013423	Carole King	American singer
m.01346x	David Suzuki	Canadian academic
m.0134cp	Alan Minter	British professional boxer
m.0134dc	Roger Ailes	CEO of Fox News Channel
m.0134fr	Richard Leakey	Kenyan palaeoanthropologist
m.0134gv	Tigran Petrosian	Armenian-Soviet chess grandmaster
m.0134lc	Peter Carl Fabergé	Russian jeweler
m.0134qh	Bugsy Siegel	American mobster
m.0134wr	Bee Gees	Musical group
m.0135g_	Kurt Tucholsky	German journalist
m.0135lv	Nam June Paik	Artist
m.0135nb	Chris Waddle	Former football player
m.0135wz	Shoeless Joe Jackson	Baseball player
m.01368v	Lys Assia	Swiss singer
m.0136cv	Philip Pope	British composer
m.0136g9	Richard Curtis	Screenwriter
m.0136ms	Sonny Liston	American professional boxer
m.0136p1	Donna Summer	American singer-songwriter
m.0136pk	Jackson Browne	Singer-songwriter
m.0136tm	Curly Lambeau	American football player
m.01371p	John Monash	Civil engineer
m.01372v	Wilhelm Wien	German physicist
m.0137g1	Beck	American musician
m.0137hn	Robin Gibb	British singer
m.0137s4	Eddie Bracken	American actor
m.01380_	Cornel Wilde	American actor
m.013823	Larry Parks	American movie actor
m.013834	Marcus Camby	American basketball player
m.013846	John Garfield	American actor
m.01385g	Michael Redgrave	Film actor
m.01386_	Serj Tankian	Musician
m.01386m	Lew Ayres	American actor
m.01387g	Shavo Odadjian	Musician
m.01387y	John Dolmayan	Musician
m.01388c	Montgomery Clift	American actor
m.01389w	Mark Farner	American singer
m.0138b7	Jake LaMotta	Professional boxer
m.0138d	Amnon	David's son
m.0138m1	John Barbirolli	Conductor
m.0138qp	Constant Lambert	Composer
m.0138r2	R. K. Narayan	Writer
m.0138rf	Emmy Noether	Mathematician
m.0138y7	Winifred Wagner	Siegfried Wagner's wife
m.0138zs	David Ho	American researcher
m.0139ps	Barrington Levy	Jamaican artist
m.0139q5	Maggie Cheung	Actress
m.0139rh	Hugo Black	Former Associate Justice of the Supreme Court of the United States
m.0139t1	Gong Li	Chinese-Singaporean actress
m.0139xn	Harpo Marx	American comedian
m.013_05	Robert Smithson	American artist
m.013_4m	Benny Hinn	Televangelist
m.013_gz	Nigella Lawson	Food writer
m.013_t9	Abraham Beame	Former Mayor of New York City
m.013_tp	Jules Rimet	
m.013_vh	Daniel Radcliffe	Actor
m.013b7z	Aleksander Kwaśniewski	Former President of the Republic of Poland
m.013bd1	David Suchet	Actor
m.013bdj	Zhang Sanfeng	
m.013bt3	Meyer Lansky	American gangster
m.013bym	Jessica Hynes	Actress
m.013d27	Astrid of Sweden	
m.013ds0	Henry Armstrong	American professional boxer
m.013fcz	Princess Märtha Louise of Norway	Norwegian writer
m.013ff1	Mette-Marit, Crown Princess of Norway	
m.013knm	Catherine Zeta-Jones	Actress
m.013m5y	Frederick Delius	English composer
m.013my_	Hu Jintao	Former General Secretary of the Communist Party of China
m.013p_0	Frederick IX of Denmark	Former King of Denmark
m.013p_j	Terry Waite	Humanitarian
m.013p_w	Princess Benedikte of Denmark	
m.013pk3	Hugh Laurie	Actor
m.013pm5	Paul Merton	Writer
m.013pp3	Philip Roth	American novelist
m.013ppl	Charlie Drake	English comedian
m.013ps	Andrew S. Tanenbaum	American computer scientist
m.013pw7	Henrik, Prince Consort of Denmark	Prince consort
m.013pyd	Pieter van Vollenhoven	Princess Margriet of the Netherlands' husband
m.013q1w	Sisqó	American singer-songwriter
m.013q3z	Michael S. Dell	CEO of Dell Technologies
m.013q78	Cantinflas	Mexican film actor
m.013q8x	Bernard Bresslaw	Comic
m.013qb0	Norman Wisdom	Actor
m.013qhn	Rory Bremner	Impressionist
m.013qjp	Bob Monkhouse	English entertainer
m.013qlj	John Fortune	English satirist
m.013qp3	Bill Bailey	Comedian
m.013qpt	Nick Hancock	Actor
m.013qq4	Rory McGrath	British comedian
m.013qwl	Mark Waugh	Australian cricketer
m.013qwy	Ian Chappell	Cricketer
m.013qy3	Lenny Henry	Stand-up comedian
m.013qyh	John Junkin	Actor
m.013r6h	John Shelby Spong	American bishop
m.013rds	Ziggy Marley	Jamaican musician
m.013rlm	José Celso Barbosa	Physician
m.013rnm	U-God	American rapper
m.013rw3	Ingrid of Sweden	
m.013s1b	Billy the Kid	Gunfighter
m.013s1t	Shane Mosley	American professional boxer
m.013s3	Abu Zubaydah	
m.013s6x	Stanley Matthews	Footballer
m.013s8s	Alia Shawkat	American actress
m.013sfr	Gunther von Hagens	German anatomist
m.013sj4	Bill Pertwee	Actor
m.013sjh	W. D. Hamilton	
m.013sy6	Buffalo Bill	American soldier
m.013t2l	Deryck Guyler	English actor
m.013t9y	George Miller	Film director
m.013tcv	Baz Luhrmann	Australian director
m.013tjc	Don Rickles	American comedian
m.013v12	Michael Spinks	American professional boxer
m.013v1_	Richard Brautigan	American novelist
m.013v2v	Jane Addams	American activist
m.013v5j	La Toya Jackson	American singer
m.013vdl	Mae Whitman	American actress
m.013vtr	Jörg Haider	Austrian Politician
m.013w4h	Raekwon	American rapper
m.013w7j	Sean Combs	American rapper
m.013w8h	Ted Nugent	American singer
m.013w9d	Bandar bin Sultan Al Saud	Saudi ambassador
m.013wg6	Jacqui Frazier-Lyde	American lawyer
m.013wq7	Athaulf	
m.013wt0	Zita of Bourbon-Parma	
m.013wwd	Art Tatum	American jazz pianist
m.013wz9	Charytín Goyco	Dominican singer
m.013xhr	Franz Beckenbauer	German footballer
m.013xjr	Alberto Santos-Dumont	Brazilian inventor
m.013xs1	Buenaventura Durruti	
m.013y2b	Elaine Chao	United States Secretary of Transportation
m.013y2s	Alexis Herman	Former United States Secretary of Labor
m.013y3t	Norman Mineta	Former United States Secretary of Transportation
m.013y4q	Dorothea Lange	American photographer
m.013y97	Hans Arp	French-German sculptor
m.013ybx	Zsa Zsa Gábor	American actress
m.013yd0	Sarah Slean	Canadian singer-songwriter
m.013yf7	Salvatore Maranzano	
m.013ykk	Jolie Gabor	American-Hungarian jeweler
m.013ykx	Eva Gabor	American-Hungarian actress
m.013yl8	Magda Gabor	American-Hungarian actress
m.013ylm	Holly Valance	Actress
m.013yvd	Kim Dae-jung	Former President of South Korea
m.013yy0	Harold Lasswell	American political scientist
m.013yyq	Ian Ure	Former football player
m.013z2s	Chuck Mangione	American player
m.013zjl	Henry Cabot Lodge	Former United States Senator
m.013zjz	Johnny Tapia	American professional boxer
m.013zk9	Henry Cabot Lodge Jr.	Former United States Senator
m.013zm7	Ornette Coleman	American saxophonist
m.013znr	Harry Worth	English comedy actor
m.013zpf	Julia Sawalha	Actress
m.013zps	Hugh Gaitskell	British Politician
m.013zr7	Luis Muñoz Marín	Journalist
m.013zs9	Jane Horrocks	Actress
m.013zyw	Wes Craven	American filmmaker
m.01400g	Charlotte Ayanna	American actress
m.014029	Barbara Hepworth	Artist
m.0140ly	Charles I of Austria	Emperor of Austria
m.0140v2	Arturo Toscanini	Italian conductor
m.0141fq	Barbara Castle	British Politician
m.0141jx	Simon Sudbury	
m.0141qv	Robert Powell	Actor
m.0142fb	Yakov Smirnoff	American-Ukrainian comedian
m.0142n8	Joe Frazier	American professional boxer
m.0142q1	Jorge Porcel	Argentine comedy actor
m.0142sv	Cal Ripken Jr.	Baseball shortstop
m.014320	Hammond Innes	British novelist
m.01433m	Alison Bechdel	American cartoonist
m.01437b	Brigitte Fontaine	Singer
m.01438g	Richard Gere	American actor
m.0143b_	Frederick Griffith	British bacteriologist
m.0143hz	Octave Mirbeau	French novelist
m.0143sn	Baldur von Schirach	Former Gauleiter
m.0143wl	Timothy Dalton	British actor
m.014428	Edward R. Murrow	American broadcaster
m.01443j	Edvard Kardelj	Politician
m.014488	Harry Belafonte	American singer
m.01449w	Louis Farrakhan	American religious leader
m.0144_b	Thomas Merton	Writer
m.0144k5	Romy Schneider	Actress
m.0144l1	Pete Townshend	Guitarist
m.0144vn	Jules Pascin	Artist
m.014508	Frank Costello	American-Italian crime boss
m.01451_	Fritz Perls	German psychiatrist
m.01451j	Milton H. Erickson	American psychiatrist
m.01452g	Virginia Satir	American author
m.01452x	Gregory Bateson	Anthropologist
m.0146fs	Tōgō Heihachirō	Admiral
m.01478p	Clifton Webb	American actor
m.01479s	Broderick Crawford	American film actor
m.0147cn	Marc Dutroux	Belgian serial killer
m.0147j9	Pete Maravich	American basketball player
m.0147jt	Michael W. Smith	American musician
m.0147qz	Paul Doumer	
m.0147tp	Consort Qi	
m.01480y	Emmitt Smith	American football player
m.0148m9	Richard Murdoch	English actor
m.0148n_	Alfred Deakin	Former Prime Minister of Australia
m.0148qq	Nikolaus Harnoncourt	Austrian conductor
m.0148sl	Rocky Marciano	American professional boxer
m.0148vr	Rainier III, Prince of Monaco	Prince of Monaco
m.0148x0	Anouk Aimée	French film actress
m.014902	Aristotle Onassis	Business magnate
m.01491d	Odysseas Elytis	Greek poet
m.014936	Christy Carlson Romano	American actress
m.0149h0	Arthur Rimbaud	French poet
m.0149k5	Albert Ayler	American singer
m.0149pz	Ne Win	Burmese Politician
m.0149vp	Arthur Bliss	English composer
m.0149wl	Hans Blix	Swedish diplomat
m.0149xx	Mstislav Rostropovich	Cellist
m.014_1g	Penelope Keith	Actress
m.014_4y	Adrian Paul	Actor
m.014_bn	Gerrie Coetzee	South African professional boxer
m.014_sl	Alessandra Mussolini	Former Member of the European Parliament
m.014_yc	Ali Shariati	Iranian revolutionary
m.014_yt	Edgar Cayce	American clairvoyant
m.014b7s	Roone Arledge	Television producer
m.014b_c	Frank Forde	Former Prime Minister of Australia
m.014bh7	Krzysztof Kieślowski	Polish film director
m.014bl1	Zbigniew Preisner	Polish film score composer
m.014bmy	John Betjeman	English poet
m.014bn_	Liam Cosgrave	Former Taoiseach
m.014bps	Derek Jarman	Film director
m.014byr	John Curtin	Former Prime Minister of Australia
m.014bz3	Bill Hewlett	American engineer
m.014bz_	Emile Griffith	Professional boxer
m.014c0y	Pyrros Dimas	Greek weightlifter
m.014c1n	Mircea Eliade	Historian of religion
m.014c2k	Akhmed Zakayev	Deputy
m.014c40	Glyn Johns	English musician
m.014c84	Maurice Duruflé	French composer
m.014c9y	Marcel Dupré	French organist
m.014cg0	Carlos Colón Sr.	Professional wrestler
m.014cml	Ken Norton	American professional boxer
m.014cq	A. E. Housman	Scholar
m.014cw2	Billy Bragg	Singer-songwriter
m.014d02	Ma Ying-jeou	Former President of the Republic of China
m.014d0v	Barry McGuigan	Professional boxer
m.014d15	Christopher Isherwood	Novelist
m.014d3	Augusto Pinochet	Former President of Chile
m.014d3y	Tanita Tikaram	Singer-songwriter
m.014dg1	Howie Dorough	American singer-songwriter
m.014dm6	Ken Burns	American filmmaker
m.014dpc	Thutmose III	Pharaoh
m.014dq7	Truman Capote	American novelist
m.014dr4	Arthur Fadden	Former Prime Minister of Australia
m.014dv4	Vladimir Ashkenazy	Pianist
m.014dy_	Jean-Louis Trintignant	French actor
m.014f8k	Irène Jacob	French-Swiss actress
m.014fcb	Adolf Ogi	Swiss Politician
m.014fd7	Ruth Dreifuss	Swiss Politician
m.014g17	Ernst Jünger	German soldier
m.014g22	Mary Steenburgen	American actress
m.014g6c	Max Roach	American drummer
m.014g6v	Bud Powell	American jazz pianist
m.014g79	Cab Calloway	American singer
m.014g7r	Charlie Christian	American jazz guitarist
m.014g8p	Henry Wilcoxon	Actor
m.014g9k	Pierre Laporte	Canadian lawyer
m.014g9y	Julie Delpy	American-French actress
m.014g_f	Steve Waugh	Australian cricketer
m.014gf8	Laurence Fishburne	American actor
m.014ggz	Ettore Majorana	Italian physicist
m.014gr	Al Capone	American gangster
m.014gs0	Barney Ross	American professional boxer
m.014gsd	Pau Gasol	Spanish basketball player
m.014h_s	Hadda Brooks	American pianist
m.014hdb	Zhang Yimou	Chinese film director
m.014hlm	Kim Deal	American singer-songwriter
m.014hmv	Henry Royce	Engineer
m.014j23	Isaac Deutscher	Writer
m.014j38	Thomas Gold	Professor
m.014j8m	Philip Berrigan	American peace activist
m.014jb8	Ira Einhorn	Social activist
m.014jgj	F. F. E. Yeo-Thomas	
m.014jjj	Philippe Starck	French architect
m.014jk0	Bobby Chacon	
m.014jm	Ahmed al-Nami	
m.014jpp	Tahj Mowry	American actor
m.014jxq	Fanny Ardant	French actress
m.014jy6	Geraldo Rivera	American journalist
m.014k1v	Stepin Fetchit	American film actor
m.014k2p	Gruff Rhys	Musician
m.014kb2	Alexander Lukashenko	President of Belarus
m.014kbz	Louis Calhern	American actor
m.014kg4	Arthur Kennedy	American film actor
m.014kxv	Don Pardo	American announcer
m.014lb1	Belinda	Singer-songwriter
m.014lhk	Henry Lawson	Australian writer
m.014lyb	Joseph Kasa-Vubu	Former President of the Democratic Republic of the Congo
m.014m_1	Caspar Weinberger	Former Director of the Office of Management and Budget
m.014mrg	Wolfgang Iser	German scholar
m.014mvy	Ville Valo	Finnish singer-songwriter
m.014n52	Boaz	Ruth's ex-husband
m.014n94	Marcel Cerdan	French professional boxer
m.014n_k	Brian Clough	Football player
m.014ncl	Swithun	Saint
m.014nfw	Irene Sáez	Venezuelan Politician
m.014nx0	Isaiah Berlin	Philosopher
